instance,group,formulation,lower_bound,upper_bound,time,variables,constraints,optimal
j3010_10,j3010,discrete,41,41,0.7,628,263,True
j3010_10,j3010,continuous,41,41,21.7,1309,2440,True
j3010_1,j3010,discrete,42,42,0.25,825,305,True
j3010_1,j3010,continuous,42,42,1.18,1237,2296,True
j3010_2,j3010,discrete,56,56,2.4,867,341,True
j3010_2,j3010,continuous,56,56,3.55,1129,2121,True
j3010_3,j3010,discrete,62,62,6.51,1131,389,True
j3010_3,j3010,continuous,62,62,11.08,1123,2090,True
j3010_4,j3010,discrete,58,58,3.78,1180,369,True
j3010_4,j3010,continuous,58,58,5.38,1165,2167,True
j3010_5,j3010,discrete,41,41,0.56,608,269,True
j3010_5,j3010,continuous,41,41,3.19,1313,2461,True
j3010_6,j3010,discrete,44,44,1.95,720,293,True
j3010_6,j3010,continuous,44,44,29.54,1225,2282,True
j3010_7,j3010,discrete,49,49,0.45,678,309,True
j3010_7,j3010,continuous,49,49,2.67,1237,2329,True
j3010_8,j3010,discrete,54,54,5.62,946,329,True
j3010_8,j3010,continuous,54,54,9.25,1269,2362,True
j3010_9,j3010,discrete,49,49,0.08,708,277,True
j3010_9,j3010,continuous,49,49,0.04,1309,2451,True
j3011_10,j3011,discrete,38,38,0.13,560,261,True
j3011_10,j3011,continuous,38,38,0.35,1257,2387,True
j3011_1,j3011,discrete,54,54,1.58,1025,357,True
j3011_1,j3011,continuous,54,54,1.78,1125,2103,True
j3011_2,j3011,discrete,56,56,0.25,726,337,True
j3011_2,j3011,continuous,56,56,1.24,1253,2367,True
j3011_3,j3011,discrete,81,81,0.16,1154,405,True
j3011_3,j3011,continuous,81,81,0.04,1145,2139,True
j3011_4,j3011,discrete,63,63,0.29,783,353,True
j3011_4,j3011,continuous,63,63,0.42,1061,2000,True
j3011_5,j3011,discrete,49,49,1.08,823,309,True
j3011_5,j3011,continuous,49,49,2.24,1203,2247,True
j3011_6,j3011,discrete,44,44,0.17,595,277,True
j3011_6,j3011,continuous,44,44,0.75,1253,2366,True
j3011_7,j3011,discrete,36,36,0.24,466,245,True
j3011_7,j3011,continuous,36,36,2.32,1341,2544,True
j3011_8,j3011,discrete,62,62,0.34,869,353,True
j3011_8,j3011,continuous,62,62,0.57,1201,2252,True
j3011_9,j3011,discrete,67,67,0.18,986,365,True
j3011_9,j3011,continuous,67,67,0.24,1113,2088,True
j3012_10,j3012,discrete,57,57,0.11,665,309,True
j3012_10,j3012,continuous,57,57,0.04,1289,2444,True
j3012_1,j3012,discrete,47,47,0.05,371,269,True
j3012_1,j3012,continuous,-inf,inf,0.01,1265,2451,False
j3012_2,j3012,discrete,46,46,0.06,412,273,True
j3012_2,j3012,continuous,46,46,0.11,1261,2428,True
j3012_3,j3012,discrete,37,37,0.05,339,229,True
j3012_3,j3012,continuous,37,37,0.03,1265,2448,True
j3012_4,j3012,discrete,63,63,0.09,616,328,True
j3012_4,j3012,continuous,63,63,0.04,1217,2333,True
j3012_5,j3012,discrete,47,47,0.11,615,269,True
j3012_5,j3012,continuous,47,47,0.04,1341,2508,True
j3012_6,j3012,discrete,53,53,0.07,476,293,True
j3012_6,j3012,continuous,53,53,0.04,1265,2430,True
j3012_7,j3012,discrete,55,55,0.09,456,301,True
j3012_7,j3012,continuous,55,55,0.04,1245,2409,True
j3012_8,j3012,discrete,35,35,0.03,258,213,True
j3012_8,j3012,continuous,35,35,0.03,1333,2612,True
j3012_9,j3012,discrete,52,52,0.09,577,289,True
j3012_9,j3012,continuous,52,52,0.04,1209,2299,True
j3013_10,j3013,discrete,61,66,1200,1440,381,False
j3013_10,j3013,continuous,54,67,1200,1109,2035,False
j3013_1,j3013,discrete,50,72,1200,1677,397,False
j3013_1,j3013,continuous,45,61,1200,1123,2078,False
j3013_2,j3013,discrete,50,73,1200,1567,377,False
j3013_2,j3013,continuous,39,74,1200,1187,2175,False
j3013_3,j3013,discrete,67,81,1200,2028,465,False
j3013_3,j3013,continuous,69,76,1200.0,1035,1889,False
j3013_4,j3013,discrete,66,73,1200.0,1713,437,False
j3013_4,j3013,continuous,70,72,1200,997,1830,False
j3013_5,j3013,discrete,59,73,1200,1654,409,False
j3013_5,j3013,continuous,49,69,1200.0,1219,2246,False
j3013_6,j3013,discrete,58,67,1200.0,1380,373,False
j3013_6,j3013,continuous,48,68,1200,1195,2209,False
j3013_7,j3013,discrete,68,78,1200,2237,481,False
j3013_7,j3013,continuous,61,83,1200,961,1755,False
j3013_8,j3013,discrete,80,124,1200,2830,581,False
j3013_8,j3013,continuous,75,110,1200,887,1604,False
j3013_9,j3013,discrete,66,72,1200,2037,481,False
j3013_9,j3013,continuous,61,77,1200,1061,1948,False
j3014_10,j3014,discrete,61,61,0.68,841,349,True
j3014_10,j3014,continuous,61,61,0.88,1161,2192,True
j3014_1,j3014,discrete,50,50,3.79,692,305,True
j3014_1,j3014,continuous,48,50,1200.0,1065,2017,False
j3014_2,j3014,discrete,53,53,183.1,886,325,True
j3014_2,j3014,continuous,46,56,1200,1221,2277,False
j3014_3,j3014,discrete,58,58,1.59,1268,389,True
j3014_3,j3014,continuous,58,58,513.69,1205,2236,True
j3014_4,j3014,discrete,50,50,968.39,758,305,True
j3014_4,j3014,continuous,49,52,1200,1209,2260,False
j3014_5,j3014,discrete,52,52,1.92,1308,353,True
j3014_5,j3014,continuous,52,52,4.0,1133,2110,True
j3014_6,j3014,discrete,35,35,0.69,410,233,True
j3014_6,j3014,continuous,34,35,1200,1281,2421,False
j3014_7,j3014,discrete,50,50,50.34,979,325,True
j3014_7,j3014,continuous,47,56,1200,1173,2181,False
j3014_8,j3014,discrete,54,54,0.26,658,305,True
j3014_8,j3014,continuous,54,54,0.25,1205,2276,True
j3014_9,j3014,discrete,46,46,7.16,1010,313,True
j3014_9,j3014,continuous,44,48,1200,1229,2281,False
j3015_10,j3015,discrete,65,65,0.11,658,341,True
j3015_10,j3015,continuous,65,65,0.04,1061,2025,True
j3015_1,j3015,discrete,46,46,0.07,505,265,True
j3015_1,j3015,continuous,46,46,0.13,1269,2439,True
j3015_2,j3015,discrete,47,47,0.12,525,277,True
j3015_2,j3015,continuous,47,47,0.17,1241,2355,True
j3015_3,j3015,discrete,48,48,0.18,644,289,True
j3015_3,j3015,continuous,48,48,0.35,1189,2233,True
j3015_4,j3015,discrete,48,48,0.09,550,273,True
j3015_4,j3015,continuous,48,48,0.05,1225,2336,True
j3015_5,j3015,discrete,58,58,4.72,708,337,True
j3015_5,j3015,continuous,56,60,1200,1193,2262,False
j3015_6,j3015,discrete,67,67,0.14,960,349,True
j3015_6,j3015,continuous,67,67,0.05,1257,2364,True
j3015_7,j3015,discrete,47,47,0.19,597,281,True
j3015_7,j3015,continuous,47,47,1.75,1181,2247,True
j3015_8,j3015,discrete,50,50,0.61,882,321,True
j3015_8,j3015,continuous,50,50,1.54,1173,2193,True
j3015_9,j3015,discrete,54,54,0.22,756,313,True
j3015_9,j3015,continuous,54,54,1198.48,1225,2287,True
j3016_10,j3016,discrete,51,51,0.11,582,285,True
j3016_10,j3016,continuous,51,51,0.05,1281,2409,True
j3016_1,j3016,discrete,51,51,0.12,500,285,True
j3016_1,j3016,continuous,51,51,0.04,1225,2374,True
j3016_2,j3016,discrete,48,48,0.11,415,273,True
j3016_2,j3016,continuous,48,48,0.04,1237,2393,True
j3016_3,j3016,discrete,36,36,0.06,240,225,True
j3016_3,j3016,continuous,36,36,0.03,1229,2433,True
j3016_4,j3016,discrete,47,47,0.09,583,269,True
j3016_4,j3016,continuous,47,47,0.04,1197,2264,True
j3016_5,j3016,discrete,51,51,0.08,438,285,True
j3016_5,j3016,continuous,51,51,0.04,1213,2349,True
j3016_6,j3016,discrete,51,51,0.12,597,285,True
j3016_6,j3016,continuous,51,51,0.04,1253,2349,True
j3016_7,j3016,discrete,34,34,0.05,308,217,True
j3016_7,j3016,continuous,34,34,0.03,1233,2417,True
j3016_8,j3016,discrete,44,44,0.07,540,257,True
j3016_8,j3016,continuous,44,44,0.04,1305,2482,True
