instance,formulation,lower_bound,upper_bound,time,variables,constaints
j6040_4,discrete,87.0,87.0,4.57,17753,1026
j6040_4,continuous,87.0,87.0,0.09,3887,7024
j603_10,discrete,67.0,67.0,1.94,17908,1068
j603_10,continuous,67.0,67.0,7.56,5195,9251
j6042_7,discrete,55.0,55.0,2.81,14101,886
j6042_7,continuous,55.0,63.0,600.02,4117,7428
j6043_9,discrete,70.0,70.0,3.92,15439,930
j6043_9,continuous,70.00000000000013,70.00000000000013,6.43,3993,7211
j601_3,discrete,67.0,67.0,1.34,16701,936
j601_3,continuous,67.0,67.0,12.55,5389,9538
j6027_10,discrete,57.0,57.0,3.67,17704,1095
j6027_10,continuous,-inf,inf,1118.37,4989,8935
j6040_1,discrete,86.0,86.0,4.01,19604,1186
j6040_1,continuous,73.0,73.0,0.09,3937,7113
j6040_1,discrete,86.0,86.0,4.01,19604,1186
j6040_1,continuous,86.0,86.0,0.08,3593,6511
j6016_5,discrete,66.0,66.0,2.6,17892,1048
j6016_5,continuous,66.0,66.0,0.13,5349,9546
j6027_2,discrete,74.0,74.0,2.77,14132,807
j6027_2,continuous,-inf,inf,1051.48,4265,7668
j6043_7,discrete,89.0,89.0,4.71,15639,902
j6043_7,continuous,89.0,89.0,4.16,3669,6644
j6020_10,discrete,70.0,70.0,1.79,17578,1019
j6020_10,continuous,70.0,70.0,0.11,4619,8286
j6036_3,discrete,81.0,81.0,2.07,16500,962
j6036_3,continuous,81.0,81.0,0.08,3937,7104
j6034_5,discrete,80.0,80.0,2.27,16634,978
j6034_5,continuous,80.0,80.0,24.01,3765,6776
j6043_8,discrete,69.0,69.0,4.07,18174,1074
j6043_8,continuous,69.0,69.0,1.44,4273,7701
j6019_4,discrete,67.0,67.0,1.92,16830,987
j6019_4,continuous,67.0,67.0,1.52,4925,8820
j6035_10,discrete,70.0,70.0,1.88,17058,1042
j6035_10,continuous,71.0,71.0,1.32,3893,7027
j6022_5,discrete,76.0,76.0,2.58,15846,923
j6022_5,continuous,76.0,76.0,9.41,4817,8628
j6033_9,discrete,102.0,102.0,2.24,17708,902
j6033_9,continuous,102.0,102.0,1.91,3759,6695
j603_7,discrete,58.0,58.0,1.38,17204,1000
j603_7,continuous,58.0,58.0,1.26,5715,10173
j6013_3,discrete,57.0,57.0,2.65,18198,1088
j6013_3,continuous,57.0,107.0,600.01,5601,9987
j6031_4,discrete,68.0,68.0,4.08,16612,967
j6031_4,continuous,68.0,269.0,1091.18,4741,8501
j6023_9,discrete,64.0,64.0,1.95,16042,971
j6023_9,continuous,64.0,64.0,2.87,4725,8473
j6036_7,discrete,71.0,71.0,1.9,17426,1054
j6036_7,continuous,71.0,71.0,0.08,4109,7402
j6035_9,discrete,73.0,73.0,2.35,16891,1026
j6035_9,continuous,73.0,73.0,1.41,3607,6525
j6032_2,discrete,114.0,114.0,4.25,17116,831
j6032_2,continuous,114.0,114.0,0.11,4469,8025
j6039_10,discrete,74.0,74.0,2.5,16352,966
j6039_10,continuous,74.0,74.0,1.75,4049,7309
j601_9,discrete,75.0,75.0,1.42,17916,928
j601_9,continuous,75.0,75.0,10.42,5167,9088
j6027_9,discrete,76.0,76.0,2.9,16594,931
j6027_9,continuous,76.0,76.0,1.51,4669,8375
j6029_10,discrete,70.0,70.0,3.36,18864,1091
j6029_10,continuous,-inf,inf,981.33,4901,8724
j6021_6,discrete,63.0,63.0,2.51,16569,983
j6021_6,continuous,64.0,71.0,1509.99,4397,7668
j6044_7,discrete,76.0,76.0,4.32,15738,930
j6044_7,continuous,76.0,76.0,0.12,3873,7001
j6015_8,discrete,79.0,79.0,3.09,19399,1124
j6015_8,continuous,79.0,79.0,3.82,5377,9595
j603_3,discrete,102.0,102.0,1.76,18662,924
j603_3,continuous,102.0,102.0,0.99,5357,9548
j6012_10,discrete,79.0,79.0,3.79,18106,1020
j6012_10,continuous,79.0,79.0,0.14,5161,9217
j6017_2,discrete,67.0,67.0,1.57,16335,955
j6017_2,continuous,67.0,67.0,3.76,4555,8030
j6034_6,discrete,77.0,77.0,2.4,18693,1106
j6034_6,continuous,78.0,78.0,8.66,3939,7076
j6033_2,discrete,100.0,100.0,2.15,18281,962
j6033_2,continuous,100.0,100.0,1.56,3829,6798
j6034_10,discrete,92.0,92.0,2.59,18984,1126
j6034_10,continuous,92.0,92.0,1.67,3771,6794
j6016_10,discrete,68.0,68.0,2.92,19113,1096
j6016_10,continuous,68.0,68.0,0.14,5389,9616
j6028_1,discrete,92.0,92.0,5.27,18268,1047
