instance,formulation,lower_bound,upper_bound,time,variables,constaints
j307_1,discrete,55.0,55.0,0.44,4225,417
j307_1,continuous,55.0,55.0,0.15,1203,2187
j307_1,continuous,43.0,43.0,0.16,1125,2043
j304_6,discrete,45.0,45.0,0.39,3860,377
j304_6,continuous,45.0,45.0,0.02,1143,2088
j306_10,discrete,58.0,58.0,0.6,4706,441
j306_10,continuous,61.0,61.0,2.83,1171,2137
j3042_4,discrete,42.0,42.0,0.58,3415,373
j3042_4,continuous,48.0,48.0,1.89,871,1635
j3021_6,discrete,53.0,53.0,0.77,4330,427
j3021_6,continuous,53.0,53.0,0.32,911,1587
j307_10,discrete,42.99999999999999,42.99999999999999,0.48,3720,373
j307_10,continuous,43.0,43.0,0.16,1125,2043
j304_10,discrete,48.0,48.0,0.43,3989,369
j304_10,continuous,48.0,48.0,0.02,1191,2163
j3023_6,discrete,47.0,47.0,0.48,4011,403
j3023_6,continuous,47.0,47.0,0.14,1033,1904
j3023_8,discrete,48.0,48.0,0.6,4348,463
j3023_8,continuous,48.0,48.0,0.27,1097,2016
j301_5,discrete,31.0,31.0,0.32,3098,349
j301_5,continuous,31.0,31.0,0.15,1171,2083
j306_8,discrete,39.0,39.0,0.69,4413,477
j306_8,continuous,39.0,39.0,3.68,1309,2371
j3045_3,discrete,57.0,57.0,0.75,4196,405
j3045_3,continuous,57.0,57.0,0.08,593,1018
j3032_6,discrete,44.0,44.0,0.48,3299,327
j3032_6,continuous,44.0,44.0,0.03,997,1850
j3039_3,discrete,53.0,53.0,0.49,4209,417
j3039_3,continuous,53.0,53.0,0.11,805,1518
j3028_8,discrete,53.0,53.0,0.79,4395,455
j3028_8,continuous,53.0,53.0,0.03,1053,1948
j3023_10,discrete,60.999999999999986,60.999999999999986,0.53,3888,303
j3023_10,continuous,61.0,61.0,0.14,937,1730
j3023_3,discrete,46.0,46.0,0.44,3791,403
j3023_3,continuous,46.0,46.0,0.29,1021,1886
j304_4,discrete,57.0,57.0,0.36,4224,385
j304_4,continuous,57.0,57.0,0.02,983,1811
j302_2,discrete,46.0,46.0,0.57,4762,453
j302_2,continuous,46.0,46.0,0.45,1309,2368
j3045_10,discrete,58.0,58.0,0.72,3893,385
j3045_10,continuous,58.0,58.0,0.09,541,924
j3030_8,discrete,40.0,40.0,0.51,3763,415
j3030_8,continuous,46.0,46.0,13.25,1093,2018
j3048_9,discrete,59.0,59.0,0.88,4705,497
j3048_9,continuous,59.0,59.0,0.03,857,1615
j3026_7,discrete,56.0,56.0,0.47,3903,363
j3026_7,continuous,56.0,56.0,0.61,973,1808
j301_1,discrete,38.0,38.0,0.48,4117,441
j301_1,continuous,38.0,38.0,0.16,1171,2101
j301_1,continuous,38.0,38.0,0.36,1161,2079
j3042_10,discrete,75.0,75.0,0.7,4319,377
j3042_10,continuous,75.0,75.0,0.25,795,1505
j3011_4,discrete,60.0,60.0,0.71,4688,465
j3011_4,continuous,63.0,63.0,1.3,1061,1949
j306_5,discrete,57.0,57.0,0.83,5071,513
j306_5,continuous,60.0,60.0,0.9,1175,2129
j3023_5,discrete,48.0,48.0,0.46,3667,351
j3023_5,continuous,48.0,48.0,0.21,1001,1848
j3040_2,discrete,56.0,56.0,0.55,4158,409
j3040_2,continuous,56.0,56.0,0.02,877,1650
j304_2,discrete,60.0,60.0,0.32,3965,297
j304_2,continuous,60.0,60.0,0.02,1085,1970
j3022_10,discrete,52.0,52.0,0.83,4869,479
j3022_10,continuous,55.0,55.0,1.41,1095,2017
j3038_2,discrete,50.0,50.0,0.6,4135,397
j3038_2,continuous,50.0,50.0,0.12,819,1538
j3018_2,discrete,52.0,52.0,0.42,3971,355
j3018_2,continuous,53.0,53.0,0.15,857,1587
j3036_5,discrete,64.0,64.0,0.45,4147,397
j3036_5,continuous,64.0,64.0,0.02,853,1605
j3030_1,discrete,40.0,40.0,0.36,3662,383
j3030_1,continuous,47.0,47.0,23.91,1085,2004
j3030_1,continuous,53.0,53.0,14.59,1033,1913
j3042_2,discrete,47.0,47.0,0.53,3748,405
j3042_2,continuous,50.0,50.0,2.59,863,1624
j3032_4,discrete,68.0,68.0,0.89,4492,451
j3032_4,continuous,68.0,68.0,0.03,1025,1899
j3040_10,discrete,51.0,51.0,0.71,4452,485
j3040_10,continuous,51.0,51.0,0.02,809,1531
j3033_10,discrete,48.0,48.0,0.63,4288,429
j3033_10,continuous,51.0,51.0,0.12,825,1544
j3018_8,discrete,49.0,49.0,0.37,4323,443
j3018_8,continuous,49.0,49.0,0.1,1015,1871
j3026_5,discrete,64.0,64.0,0.52,4021,295
j3026_5,continuous,64.0,64.0,0.98,963,1768
j3033_8,discrete,47.0,47.0,0.39,3824,409
j3033_8,continuous,47.0,47.0,0.09,759,1415
j3018_4,discrete,67.0,67.0,0.49,4750,439
j3018_4,continuous,67.0,67.0,0.09,913,1682
j3036_3,discrete,61.0,61.0,0.39,3830,325
j3036_3,continuous,61.0,61.0,0.02,791,1489
j306_7,discrete,43.0,43.0,0.43,3737,389
j306_7,continuous,43.0,43.0,1.66,1123,2047
j3046_10,discrete,46.0,46.0,0.6,3764,429
j3046_10,continuous,55.00000000000001,55.00000000000001,21.06,865,1629
j308_6,discrete,47.0,47.0,0.54,4947,509
j308_6,continuous,47.0,47.0,0.03,1281,2337
j308_1,discrete,44.0,44.0,0.42,3778,357
j308_1,continuous,44.0,44.0,0.03,1185,2169
j308_1,continuous,67.0,67.0,0.02,1095,2010
j3013_6,discrete,44.0,44.0,0.57,4101,409
j3013_6,continuous,46.14084507,61.0,1150.59,1195,2158
j3041_9,discrete,69.0,69.0,0.54,3988,317
j3041_9,continuous,69.0,69.0,0.06,679,1167
j3019_1,discrete,39.0,39.0,0.45,3559,391
j3019_1,continuous,45.0,45.0,0.11,1073,1968
j3019_1,continuous,39.0,39.0,0.2,1097,2016
j3028_1,discrete,69.0,69.0,0.48,3677,255
j3028_1,continuous,59.0,59.0,0.03,993,1843
j3028_1,continuous,69.0,69.0,0.02,985,1829
j3041_2,discrete,49.0,49.0,0.66,3949,425
j3041_2,continuous,54.0,54.0,0.2,659,1168
j3034_8,discrete,50.0,50.0,0.31,3656,353
j3034_8,continuous,51.0,51.0,0.18,853,1593
j3012_5,discrete,47.0,47.0,0.59,4392,429
j3012_5,continuous,47.0,47.0,0.04,1341,2442
j3040_9,discrete,64.0,64.0,0.64,4549,433
j3040_9,continuous,64.0,64.0,0.02,821,1546
j3018_6,discrete,53.0,53.0,0.47,4621,471
j3018_6,continuous,53.0,53.0,0.34,1001,1836
j3047_6,discrete,50.0,50.0,0.71,4311,457
j3047_6,continuous,53.0,53.0,1.84,853,1608
j3030_6,discrete,54.0,54.0,0.72,4143,407
j3030_6,continuous,62.0,62.0,8.04,1025,1899
j3013_4,discrete,50.0,50.0,0.49,3635,341
j3013_4,continuous,51.0,51.0,0.88,997,1714
j3023_1,discrete,63.0,63.0,0.73,4283,391
j3023_1,continuous,63.0,63.0,0.41,1017,1885
j3023_1,continuous,61.0,61.0,0.14,937,1730
j3012_3,discrete,37.0,37.0,0.32,3860,409
